id,product_barcode,product_name,quantity,expiry_date,received_date,supplier_ref,supplier_name,supplier_id,cost_price,status
40,672329634182,Whisper Cottony Soft Clean X-Long Overnight,31,2026-07-22,2024-01-09 00:00:00,UP-20240109-0040,Unilever Philippines,10,115.11,ACTIVE
41,480088814685,Sunsilk Strong & Long 350ml,192,2026-03-04,2024-01-09 00:00:00,UP-20240109-0041,Unilever Philippines,10,135.13,ACTIVE
42,480864702009,Eden Cheese 165g,16,2024-06-25,2024-01-10 00:00:00,AMC-20240110-0042,Alaska Milk Corporation,8,70.08,ACTIVE
43,480198118062,Sprite 1.5L,162,2024-09-03,2024-01-12 00:00:00,CBP-20240112-0043,Coca-Cola Beverages Philippines,2,54.07,ACTIVE
44,480732471900,Sprite 1L (1 Case),29,2024-04-10,2024-01-13 00:00:00,PPP-20240113-0044,Pepsi-Cola Products Philippines,3,315.47,ACTIVE
45,489310100015,Lucky Me Pancit Canton with Kalamnsi 60g,40,2024-03-05,2024-01-13 00:00:00,MNC-20240113-0045,Monde Nissin Corporation,6,11.02,ACTIVE
46,480198112717,Coke Swakto 195ml (1 Case),18,2024-09-29,2024-01-14 00:00:00,SMC-20240114-0046,San Miguel Corporation,1,112.18,ACTIVE
47,480392513032,Mountain Dew 290ml (1 Case),29,2024-12-23,2024-01-14 00:00:00,CBP-20240114-0047,Coca-Cola Beverages Philippines,2,180.29,ACTIVE
48,480374937310,Coke 1L (1 Case),15,2024-09-23,2024-01-14 00:00:00,PPP-20240114-0048,Pepsi-Cola Products Philippines,3,315.5,ACTIVE
49,893951811445,Hansel Mocha Sandwich,274,2024-10-23,2024-01-14 00:00:00,OST-20240114-0049,Oishi Snack Time,13,54.09,ACTIVE
50,480535824701,Dari Creme Butter Milk 100g,138,2024-03-05,2024-01-14 00:00:00,CPF-20240114-0050,Century Pacific Food Inc.,7,37.06,ACTIVE
51,490243086729,Joy Dishwashing Liquid Lemon 475ml,152,2025-10-01,2024-01-14 00:00:00,P&G-20240114-0051,Procter & Gamble Philippines,9,120.19,ACTIVE
52,480198112000,Coke 500ml,244,2024-11-13,2024-01-15 00:00:00,SMC-20240115-0052,San Miguel Corporation,1,22.54,ACTIVE
53,542353276241,Royal 1L (1 Case),9,2024-08-04,2024-01-15 00:00:00,CBP-20240115-0053,Coca-Cola Beverages Philippines,2,315.54,ACTIVE
54,955600121722,Milo 22g Sachet,62,2024-06-06,2024-01-15 00:00:00,CBP-20240115-0054,Coca-Cola Beverages Philippines,2,10.52,ACTIVE
55,490243078997,Joy Dishwashing Liquid Lemon Sachet 40ml,55,2025-12-04,2024-01-15 00:00:00,UP-20240115-0055,Unilever Philippines,10,10.52,ACTIVE
56,480004784003,Zonrox Original Bleach 250ml,68,2026-06-28,2024-01-16 00:00:00,P&G-20240116-0056,Procter & Gamble Philippines,9,34.06,ACTIVE
57,480864731007,Tang Orange 250g,176,2024-03-03,2024-01-17 00:00:00,U(R-20240117-0057,URC (Universal Robina Corporation),5,195.38,ACTIVE
58,480198112010,Royal Tru Orange 500ml,87,2024-05-25,2024-01-18 00:00:00,CBP-20240118-0058,Coca-Cola Beverages Philippines,2,22.55,ACTIVE
59,480392525110,Pepsi 500ml,255,2024-11-06,2024-01-19 00:00:00,PPP-20240119-0059,Pepsi-Cola Products Philippines,3,20.04,ACTIVE
60,480198112720,Royal Swakto 195ml (1 Case),21,2024-10-05,2024-01-19 00:00:00,PPP-20240119-0060,Pepsi-Cola Products Philippines,3,112.25,ACTIVE
61,480392525114,Mountain Dew 500ml,22,2024-12-15,2024-01-20 00:00:00,PPP-20240120-0061,Pepsi-Cola Products Philippines,3,20.05,ACTIVE
62,480198111607,Coke 1.5L,196,2024-05-29,2024-01-20 00:00:00,PPP-20240120-0062,Pepsi-Cola Products Philippines,3,54.13,ACTIVE
63,480191198062,Royal Tru Orange 1.5L,190,2024-04-13,2024-01-21 00:00:00,PPP-20240121-0063,Pepsi-Cola Products Philippines,3,54.13,ACTIVE
64,480198111664,Coke Zero 1.5L,276,2024-12-29,2024-01-21 00:00:00,CBP-20240121-0064,Coca-Cola Beverages Philippines,2,54.13,ACTIVE
65,480198102719,Sprite Swakto 195ml (1 Case),6,2024-09-06,2024-01-21 00:00:00,SMC-20240121-0065,San Miguel Corporation,1,112.28,ACTIVE
66,480611352020,Juicy Lemon 237 ml (1 Bundle),27,2024-09-02,2024-01-21 00:00:00,PPP-20240121-0066,Pepsi-Cola Products Philippines,3,127.31,ACTIVE
67,480002201028,Hunts Pork & Beans 100g Doy,84,2025-06-01,2024-01-21 00:00:00,NI-20240121-0067,NutriAsia Inc.,11,13.03,ACTIVE
68,480057511015,Alaska Classic Evaporated Filled Milk 140ml,136,2024-05-22,2024-01-21 00:00:00,CPF-20240121-0068,Century Pacific Food Inc.,7,25.56,ACTIVE
69,480088814685,Sunsilk Strong & Long 350ml,136,2026-06-23,2024-01-21 00:00:00,PSC-20240121-0069,Philippine Seven Corp (7-Eleven Dist.),15,135.33,ACTIVE
70,480392515114,Mountain Dew 1.5L,91,2024-05-13,2024-01-22 00:00:00,CBP-20240122-0070,Coca-Cola Beverages Philippines,2,50.13,ACTIVE
71,480392515110,Pepsi 1.5L,292,2024-11-23,2024-01-22 00:00:00,PPP-20240122-0071,Pepsi-Cola Products Philippines,3,50.13,ACTIVE
72,480392515116,Mirinda Orange 1.5L,135,2025-01-13,2024-01-22 00:00:00,SMC-20240122-0072,San Miguel Corporation,1,54.14,ACTIVE
73,480036141081,Nestle Bear Brand Fortified 33g,148,2024-04-01,2024-01-22 00:00:00,NPI-20240122-0073,Nestle Philippines Inc.,4,10.03,ACTIVE
74,965412919731,Energen Cereal Milk Chocolate Drink 40g,102,2024-06-29,2024-01-22 00:00:00,PSC-20240122-0074,Philippine Seven Corp (7-Eleven Dist.),15,8.02,ACTIVE
75,748485200019,555 Sardines in Tomato Sauce 155g,12,2025-07-18,2024-01-22 00:00:00,DMP-20240122-0075,Del Monte Philippines Inc.,14,22.06,ACTIVE
76,870021639476,Downy Sunrise Fresh Fabric Conditioner Sachet 20ml,34,2025-02-19,2024-01-22 00:00:00,P&G-20240122-0076,Procter & Gamble Philippines,9,6.02,ACTIVE
77,480392515112,7-up 1.5L,132,2024-05-12,2024-01-23 00:00:00,CBP-20240123-0077,Coca-Cola Beverages Philippines,2,50.14,ACTIVE
78,489120804013,Oishi Prawn Crackers 60g,49,2024-05-30,2024-01-23 00:00:00,MNC-20240123-0078,Monde Nissin Corporation,6,15.54,ACTIVE
79,480864702009,Eden Cheese 165g,115,2024-06-25,2024-01-23 00:00:00,NPI-20240123-0079,Nestle Philippines Inc.,4,70.19,ACTIVE
80,642611907726,Ajinomoto Seasoning Mix 50g,126,2024-09-30,2024-01-23 00:00:00,UP-20240123-0080,Unilever Philippines,10,11.53,ACTIVE
81,642647382226,Sisters Night Plus Cottony Napkin,179,2026-12-14,2024-01-23 00:00:00,P&G-20240123-0081,Procter & Gamble Philippines,9,40.11,ACTIVE
82,642321541122,Sisters Overnight Dry,90,2025-08-21,2024-01-23 00:00:00,PSC-20240123-0082,Philippine Seven Corp (7-Eleven Dist.),15,105.28,ACTIVE
83,480198111696,Coke Light 1.5L,79,2024-03-05,2024-01-24 00:00:00,CBP-20240124-0083,Coca-Cola Beverages Philippines,2,58.67,ACTIVE
84,037000359562,Ariel With a Touch of Downy Freshness Powder,142,2026-02-28,2024-01-24 00:00:00,UP-20240124-0084,Unilever Philippines,10,596.69,ACTIVE
85,480198112005,Sprite 500ml,277,2024-06-06,2024-01-25 00:00:00,PPP-20240125-0085,Pepsi-Cola Products Philippines,3,22.57,ACTIVE
86,000008586780,Datu Puti Patis 1L,123,2025-01-07,2024-01-25 00:00:00,DMP-20240125-0086,Del Monte Philippines Inc.,14,73.22,ACTIVE
87,489310100015,Lucky Me Pancit Canton with Kalamnsi 60g,84,2024-11-28,2024-01-25 00:00:00,U(R-20240125-0087,URC (Universal Robina Corporation),5,11.03,ACTIVE
88,480198118062,Sprite 1.5L,25,2024-09-24,2024-01-26 00:00:00,SMC-20240126-0088,San Miguel Corporation,1,54.17,ACTIVE
89,480392513032,Mountain Dew 290ml (1 Case),19,2024-10-01,2024-01-26 00:00:00,SMC-20240126-0089,San Miguel Corporation,1,180.55,ACTIVE
90,965412919613,Energen Cereal Drink Mix Vanilla Hanger 40g,11,2024-07-21,2024-01-26 00:00:00,OST-20240126-0090,Oishi Snack Time,13,7.52,ACTIVE
91,893921341445,San Sky Flakes Crackers Original 25g x 10s,129,2024-09-17,2024-01-26 00:00:00,OST-20240126-0091,Oishi Snack Time,13,52.66,ACTIVE
92,748485800035,Argentina Corned Beef 260g,168,2025-02-09,2024-01-26 00:00:00,CPF-20240126-0092,Century Pacific Food Inc.,7,52.16,ACTIVE
93,480057513016,Alaska Condensada Sweetened Condensed Creamer 168ml,110,2024-05-03,2024-01-26 00:00:00,CPF-20240126-0093,Century Pacific Food Inc.,7,35.11,ACTIVE
94,490243078997,Joy Dishwashing Liquid Lemon Sachet 40ml,52,2026-10-20,2024-01-26 00:00:00,P&G-20240126-0094,Procter & Gamble Philippines,9,10.53,ACTIVE
95,480198109722,Royal Tru Strawberry 1.5L,162,2024-09-17,2024-01-28 00:00:00,PPP-20240128-0095,Pepsi-Cola Products Philippines,3,54.18,ACTIVE
96,955600121722,Milo 22g Sachet,35,2024-06-11,2024-01-28 00:00:00,CBP-20240128-0096,Coca-Cola Beverages Philippines,2,10.53,ACTIVE
97,544900000099,Coca-Cola Mismo 295ml,127,2024-07-21,2024-01-29 00:00:00,PPP-20240129-0097,Pepsi-Cola Products Philippines,3,18.06,ACTIVE
98,480198112717,Coke Swakto 195ml (1 Case),11,2024-12-03,2024-01-30 00:00:00,CBP-20240130-0098,Coca-Cola Beverages Philippines,2,112.4,ACTIVE
99,480374937310,Coke 1L (1 Case),14,2024-07-17,2024-01-30 00:00:00,CBP-20240130-0099,Coca-Cola Beverages Philippines,2,316.13,ACTIVE
100,672329634182,Whisper Cottony Soft Clean X-Long Overnight,14,2026-12-25,2024-01-30 00:00:00,PSC-20240130-0100,Philippine Seven Corp (7-Eleven Dist.),15,115.41,ACTIVE
101,893951811445,Hansel Mocha Sandwich,76,2024-07-14,2024-01-31 00:00:00,PSC-20240131-0101,Philippine Seven Corp (7-Eleven Dist.),15,54.2,ACTIVE
102,490243086729,Joy Dishwashing Liquid Lemon 475ml,115,2027-01-28,2024-01-31 00:00:00,P&G-20240131-0102,Procter & Gamble Philippines,9,120.44,ACTIVE
103,480732471900,Sprite 1L (1 Case),23,2024-05-11,2024-02-01 00:00:00,PPP-20240201-0103,Pepsi-Cola Products Philippines,3,316.2,ACTIVE
104,480535824701,Dari Creme Butter Milk 100g,97,2024-05-21,2024-02-01 00:00:00,NPI-20240201-0104,Nestle Philippines Inc.,4,37.14,ACTIVE
105,480191198062,Royal Tru Orange 1.5L,82,2024-04-06,2024-02-02 00:00:00,CBP-20240202-0105,Coca-Cola Beverages Philippines,2,54.21,ACTIVE
106,480392525114,Mountain Dew 500ml,198,2025-01-04,2024-02-03 00:00:00,CBP-20240203-0106,Coca-Cola Beverages Philippines,2,20.08,ACTIVE
107,480198112000,Coke 500ml,262,2024-09-04,2024-02-04 00:00:00,PPP-20240204-0107,Pepsi-Cola Products Philippines,3,22.59,ACTIVE
108,480198112720,Royal Swakto 195ml (1 Case),19,2024-05-05,2024-02-04 00:00:00,CBP-20240204-0108,Coca-Cola Beverages Philippines,2,112.47,ACTIVE
109,037000359562,Ariel With a Touch of Downy Freshness Powder,165,2025-09-21,2024-02-04 00:00:00,UP-20240204-0109,Unilever Philippines,10,597.49,ACTIVE
110,480392515112,7-up 1.5L,160,2024-11-26,2024-02-05 00:00:00,SMC-20240205-0110,San Miguel Corporation,1,50.22,ACTIVE
111,542353276241,Royal 1L (1 Case),16,2024-06-27,2024-02-05 00:00:00,PPP-20240205-0111,Pepsi-Cola Products Philippines,3,316.36,ACTIVE
112,642647382226,Sisters Night Plus Cottony Napkin,107,2026-09-10,2024-02-05 00:00:00,UP-20240205-0112,Unilever Philippines,10,40.17,ACTIVE
113,480392515114,Mountain Dew 1.5L,141,2024-08-09,2024-02-06 00:00:00,SMC-20240206-0113,San Miguel Corporation,1,50.22,ACTIVE
114,480864731007,Tang Orange 250g,46,2024-07-08,2024-02-06 00:00:00,PSC-20240206-0114,Philippine Seven Corp (7-Eleven Dist.),15,195.86,ACTIVE
115,965412919731,Energen Cereal Milk Chocolate Drink 40g,70,2024-04-15,2024-02-06 00:00:00,PPP-20240206-0115,Pepsi-Cola Products Philippines,3,8.04,ACTIVE
116,965412919613,Energen Cereal Drink Mix Vanilla Hanger 40g,116,2024-04-19,2024-02-06 00:00:00,U(R-20240206-0116,URC (Universal Robina Corporation),5,7.53,ACTIVE
117,489120804013,Oishi Prawn Crackers 60g,247,2024-07-29,2024-02-06 00:00:00,MNC-20240206-0117,Monde Nissin Corporation,6,15.57,ACTIVE
118,000008586780,Datu Puti Patis 1L,51,2024-09-06,2024-02-06 00:00:00,DMP-20240206-0118,Del Monte Philippines Inc.,14,73.32,ACTIVE
119,870021639476,Downy Sunrise Fresh Fabric Conditioner Sachet 20ml,102,2026-07-07,2024-02-06 00:00:00,UP-20240206-0119,Unilever Philippines,10,6.03,ACTIVE
120,480004784003,Zonrox Original Bleach 250ml,66,2025-05-16,2024-02-06 00:00:00,UP-20240206-0120,Unilever Philippines,10,34.15,ACTIVE
121,489310100015,Lucky Me Pancit Canton with Kalamnsi 60g,220,2024-06-19,2024-02-06 00:00:00,MNC-20240206-0121,Monde Nissin Corporation,6,11.05,ACTIVE
122,480392525110,Pepsi 500ml,178,2024-09-02,2024-02-07 00:00:00,CBP-20240207-0122,Coca-Cola Beverages Philippines,2,20.09,ACTIVE
123,480198111607,Coke 1.5L,237,2024-08-14,2024-02-07 00:00:00,CBP-20240207-0123,Coca-Cola Beverages Philippines,2,54.25,ACTIVE
124,480392515110,Pepsi 1.5L,258,2024-11-02,2024-02-07 00:00:00,CBP-20240207-0124,Coca-Cola Beverages Philippines,2,50.23,ACTIVE
125,480198111696,Coke Light 1.5L,199,2024-10-24,2024-02-07 00:00:00,CBP-20240207-0125,Coca-Cola Beverages Philippines,2,58.77,ACTIVE
126,480198112010,Royal Tru Orange 500ml,154,2024-10-31,2024-02-08 00:00:00,PPP-20240208-0126,Pepsi-Cola Products Philippines,3,22.61,ACTIVE
127,480198109722,Royal Tru Strawberry 1.5L,136,2024-08-11,2024-02-08 00:00:00,CBP-20240208-0127,Coca-Cola Beverages Philippines,2,54.25,ACTIVE
128,480198102719,Sprite Swakto 195ml (1 Case),14,2024-07-07,2024-02-08 00:00:00,SMC-20240208-0128,San Miguel Corporation,1,112.52,ACTIVE
129,955600121722,Milo 22g Sachet,133,2024-05-23,2024-02-08 00:00:00,PPP-20240208-0129,Pepsi-Cola Products Philippines,3,10.55,ACTIVE
130,480036141081,Nestle Bear Brand Fortified 33g,160,2024-05-27,2024-02-08 00:00:00,NPI-20240208-0130,Nestle Philippines Inc.,4,10.05,ACTIVE
131,748485200019,555 Sardines in Tomato Sauce 155g,19,2025-04-19,2024-02-08 00:00:00,CPF-20240208-0131,Century Pacific Food Inc.,7,22.1,ACTIVE
132,748485800035,Argentina Corned Beef 260g,36,2025-11-14,2024-02-08 00:00:00,DMP-20240208-0132,Del Monte Philippines Inc.,14,52.24,ACTIVE
133,642611907726,Ajinomoto Seasoning Mix 50g,163,2024-10-08,2024-02-08 00:00:00,UP-20240208-0133,Unilever Philippines,10,11.55,ACTIVE
134,480392513032,Mountain Dew 290ml (1 Case),14,2024-03-22,2024-02-09 00:00:00,SMC-20240209-0134,San Miguel Corporation,1,180.86,ACTIVE
135,480611352020,Juicy Lemon 237 ml (1 Bundle),13,2024-05-15,2024-02-09 00:00:00,PPP-20240209-0135,Pepsi-Cola Products Philippines,3,127.61,ACTIVE
136,642321541122,Sisters Overnight Dry,200,2025-12-08,2024-02-09 00:00:00,UP-20240209-0136,Unilever Philippines,10,105.5,ACTIVE
137,480198111664,Coke Zero 1.5L,88,2024-09-15,2024-02-10 00:00:00,CBP-20240210-0137,Coca-Cola Beverages Philippines,2,54.27,ACTIVE
138,480392515116,Mirinda Orange 1.5L,22,2025-01-29,2024-02-10 00:00:00,PPP-20240210-0138,Pepsi-Cola Products Philippines,3,54.27,ACTIVE
139,480198112717,Coke Swakto 195ml (1 Case),22,2024-08-28,2024-02-10 00:00:00,PPP-20240210-0139,Pepsi-Cola Products Philippines,3,112.55,ACTIVE
140,480088814685,Sunsilk Strong & Long 350ml,32,2025-11-17,2024-02-10 00:00:00,PSC-20240210-0140,Philippine Seven Corp (7-Eleven Dist.),15,135.67,ACTIVE
141,544900000099,Coca-Cola Mismo 295ml,130,2024-08-04,2024-02-11 00:00:00,CBP-20240211-0141,Coca-Cola Beverages Philippines,2,18.09,ACTIVE
142,480198112005,Sprite 500ml,118,2024-07-14,2024-02-11 00:00:00,SMC-20240211-0142,San Miguel Corporation,1,22.61,ACTIVE
143,480002201028,Hunts Pork & Beans 100g Doy,132,2025-09-02,2024-02-11 00:00:00,CPF-20240211-0143,Century Pacific Food Inc.,7,13.07,ACTIVE
144,480057511015,Alaska Classic Evaporated Filled Milk 140ml,77,2024-04-02,2024-02-11 00:00:00,CPF-20240211-0144,Century Pacific Food Inc.,7,25.63,ACTIVE
145,480191198062,Royal Tru Orange 1.5L,279,2025-01-23,2024-02-13 00:00:00,CBP-20240213-0145,Coca-Cola Beverages Philippines,2,54.29,ACTIVE
146,480864702009,Eden Cheese 165g,155,2024-04-05,2024-02-13 00:00:00,NPI-20240213-0146,Nestle Philippines Inc.,4,70.37,ACTIVE
147,893921341445,San Sky Flakes Crackers Original 25g x 10s,199,2024-09-08,2024-02-14 00:00:00,U(R-20240214-0147,URC (Universal Robina Corporation),5,52.78,ACTIVE
148,480057513016,Alaska Condensada Sweetened Condensed Creamer 168ml,32,2024-05-25,2024-02-15 00:00:00,NPI-20240215-0148,Nestle Philippines Inc.,4,35.19,ACTIVE
149,490243078997,Joy Dishwashing Liquid Lemon Sachet 40ml,24,2025-12-04,2024-02-15 00:00:00,UP-20240215-0149,Unilever Philippines,10,10.56,ACTIVE
150,480198118062,Sprite 1.5L,79,2024-08-15,2024-02-16 00:00:00,SMC-20240216-0150,San Miguel Corporation,1,54.31,ACTIVE
151,480198112720,Royal Swakto 195ml (1 Case),29,2024-10-01,2024-02-16 00:00:00,CBP-20240216-0151,Coca-Cola Beverages Philippines,2,112.63,ACTIVE
152,480374937310,Coke 1L (1 Case),26,2024-06-13,2024-02-16 00:00:00,PPP-20240216-0152,Pepsi-Cola Products Philippines,3,316.79,ACTIVE
153,542353276241,Royal 1L (1 Case),26,2024-09-28,2024-02-16 00:00:00,PPP-20240216-0153,Pepsi-Cola Products Philippines,3,316.79,ACTIVE
154,490243086729,Joy Dishwashing Liquid Lemon 475ml,128,2026-11-29,2024-02-16 00:00:00,UP-20240216-0154,Unilever Philippines,10,120.68,ACTIVE
155,489120804013,Oishi Prawn Crackers 60g,184,2024-12-16,2024-02-17 00:00:00,OST-20240217-0155,Oishi Snack Time,13,15.59,ACTIVE
156,480535824701,Dari Creme Butter Milk 100g,94,2024-06-24,2024-02-17 00:00:00,AMC-20240217-0156,Alaska Milk Corporation,8,37.21,ACTIVE
157,037000359562,Ariel With a Touch of Downy Freshness Powder,124,2025-04-24,2024-02-17 00:00:00,P&G-20240217-0157,Procter & Gamble Philippines,9,598.45,ACTIVE
158,672329634182,Whisper Cottony Soft Clean X-Long Overnight,42,2026-09-10,2024-02-18 00:00:00,PSC-20240218-0158,Philippine Seven Corp (7-Eleven Dist.),15,115.68,ACTIVE
159,480392525114,Mountain Dew 500ml,103,2024-06-25,2024-02-19 00:00:00,PPP-20240219-0159,Pepsi-Cola Products Philippines,3,20.12,ACTIVE
160,480732471900,Sprite 1L (1 Case),12,2024-10-01,2024-02-19 00:00:00,PPP-20240219-0160,Pepsi-Cola Products Philippines,3,316.9,ACTIVE
161,480392513032,Mountain Dew 290ml (1 Case),25,2024-06-08,2024-02-20 00:00:00,CBP-20240220-0161,Coca-Cola Beverages Philippines,2,181.11,ACTIVE
162,480392515114,Mountain Dew 1.5L,288,2024-11-18,2024-02-21 00:00:00,SMC-20240221-0162,San Miguel Corporation,1,50.31,ACTIVE
163,480392515110,Pepsi 1.5L,30,2024-12-03,2024-02-21 00:00:00,SMC-20240221-0163,San Miguel Corporation,1,50.31,ACTIVE
164,893951811445,Hansel Mocha Sandwich,192,2024-12-09,2024-02-21 00:00:00,PSC-20240221-0164,Philippine Seven Corp (7-Eleven Dist.),15,54.34,ACTIVE
165,000008586780,Datu Puti Patis 1L,126,2024-10-15,2024-02-21 00:00:00,NI-20240221-0165,NutriAsia Inc.,11,73.46,ACTIVE
166,480004784003,Zonrox Original Bleach 250ml,122,2025-11-06,2024-02-21 00:00:00,UP-20240221-0166,Unilever Philippines,10,34.21,ACTIVE
167,480198111696,Coke Light 1.5L,298,2024-12-08,2024-02-22 00:00:00,PPP-20240222-0167,Pepsi-Cola Products Philippines,3,58.87,ACTIVE
168,480198102719,Sprite Swakto 195ml (1 Case),7,2024-11-28,2024-02-22 00:00:00,SMC-20240222-0168,San Miguel Corporation,1,112.72,ACTIVE
