name,category,retail_price,wholesale_price,stock,cost_price,barcode,image_url,reorder_level,expiry_date
"Joy Dishwashing Liquid Lemon Sachet 40ml",Household,12.00,0.00,700,10.50,490243078997,https://admin.merrymartwholesale.com/storage/upload/assets/UUpS8GCqeLYWoVloTVTlxseSBf71wxH2L0uuWZO6.jpg,180,2028-05-30
"Ariel With a Touch of Downy Freshness Powder Household Detergent 66 Loads (105 oz / ~3 kg)",Household,660.00,0.00,85,595.00,037000359562,https://shopsuki.ph/cdn/shop/files/105038351_600x.png?v=1715225252,20,2028-02-01
"Datu Puti Patis 1L",Condiments,80.85,0.00,200,73.00,000008586780,https://shopmetro.ph/ayala-supermarket/wp-content/uploads/2021/03/SM8586780-13.jpg,50,2028-06-15
"555 Sardines in Tomato Sauce 155g",Canned Goods,25.00,0.00,480,22.00,748485200019,https://shopsuki.ph/cdn/shop/products/748485200019-2_600x.jpg?v=1676857577,100,2028-12-28
"Tang Orange 250g",Beverages,216.00,0.00,150,195.00,480864731007,https://ddmmw-assets.s3.ap-southeast-1.amazonaws.com/products/20/10008660.png,30,2027-10-30
"Argentina Corned Beef 260g",Canned Goods,57.50,0.00,380,52.00,748485800035,https://store.iloilosupermart.com/wp-content/uploads/2020/05/ARGENTINA.jpg,80,2028-08-15
"Hunts Pork & Beans 100g Doy",Canned Goods,14.50,0.00,420,13.00,480002201028,https://store.iloilosupermart.com/wp-content/uploads/2020/05/hunts-1.jpg,100,2028-06-01
"Dari Creme Butter Milk 100g",Dairy,41.00,0.00,160,37.00,480535824701,https://store.iloilosupermart.com/wp-content/uploads/2020/05/857897564-1.png,40,2026-07-12
"Oishi Prawn Crackers (Regular/Classic flavor) 60g",Snack,17.60,0.00,350,15.50,489120804013,https://sigemart.com/cdn/shop/files/13_74b57148-3e91-4dbe-b1a0-a43278744bb1.jpg?v=1738789532,80,2026-11-20
"Ajinomoto Seasoning Mix 50g",Condiments,13.00,0.00,500,11.50,642611907726,https://shopmetro.ph/banilad-supermarket/wp-content/uploads/2023/10/SM9531053-4.jpg,120,2028-03-01
"Sisters Night Plus Cottony Napkin (1 pack)",Personal care,44.50,0.00,250,40.00,642647382226,https://boholonlinestore.com/wp-content/uploads/2017/01/sisters_night_plus_cottony_napkins_8s_1-600x600.jpg,60,2029-06-01
"Sisters Overnight Dry (1 pack)",Personal care,117.00,0.00,200,105.00,642321541122,https://shopsuki.ph/cdn/shop/files/4806506318672_800x.jpg?v=1737954143,50,2029-06-15
"Whisper Cottony Soft Clean X-Long Overnight (1 pack)",Personal care,128.00,0.00,180,115.00,672329634182,https://media.pickaroo.com/media/thumb/variant_photos/2021/6/8/fFuRbPpZ4uYiKZ6ARCnsor_watermark_400.jpg,40,2029-05-28
"Energen Cereal Milk Chocolate Drink 40g",Beverages,9.00,0.00,600,8.00,965412919731,https://shopsuki.ph/cdn/shop/files/8996001440049_800x.jpg?v=1735909030,150,2027-03-31
"Energen Cereal Drink Mix Vanilla Hanger 40g",Beverages,8.60,0.00,550,7.50,965412919613,https://shopmetro.ph/basak-supermarket/wp-content/uploads/2023/03/SMSKu-16.jpg,140,2027-04-15
"San Sky Flakes Crackers Original 25g x 10s",Snack,58.40,0.00,280,52.50,893921341445,https://shopsuki.ph/cdn/shop/files/750515018402_800x.jpg?v=1743394718,70,2026-10-10
"Hansel Mocha Sandwich (1 pack)",Snack,60.20,0.00,300,54.00,893951811445,https://www.srssulit.com/wp-content/uploads/products/17262-1.png,75,2026-12-25
"Coke Swakto 195ml (1 Case)",Softdrinks case,0.00,125.00,120,112.00,480198112717,https://sigemart.com/cdn/shop/files/13_74b57148-3e91-4dbe-b1a0-a43278744bb1.jpg?v=1738789532,30,2027-04-30
"Royal Swakto 195ml (1 Case)",Softdrinks case,0.00,125.00,100,112.00,480198112720,https://store.iloilosupermart.com/wp-content/uploads/2020/05/08731ee104a65c1f4f169440457ea4a2.jpg,25,2027-05-15
"Sprite Swakto 195ml (1 Case)",Softdrinks case,0.00,125.00,95,112.00,480198102719,https://store.iloilosupermart.com/wp-content/uploads/2020/05/101608464_2609642979364210_2353492158079565824_n.jpg,25,2027-04-03
"Mountain Dew 290ml (1 Case)",Softdrinks case,0.00,200.00,85,180.00,480392513032,https://d2j6dbq0eux0bg.cloudfront.net/images/17197054/3773527171.jpg,20,2027-06-01
"Sprite 500ml",Soda,25.00,0.00,380,22.50,480198112005,https://store.iloilosupermart.com/wp-content/uploads/2020/05/5464564.png,90,2027-03-20
"Royal Tru Orange 500ml",Soda,25.00,0.00,320,22.50,480198112010,https://store.iloilosupermart.com/wp-content/uploads/2020/05/121-1.jpg,80,2027-02-28
"Coke 500ml",Soda,25.00,0.00,480,22.50,480198112000,https://store.iloilosupermart.com/wp-content/uploads/2020/05/1029349-1a.jpg,100,2027-04-15
"Mountain Dew 500ml",Soda,22.00,0.00,250,20.00,480392525114,https://store.iloilosupermart.com/wp-content/uploads/2020/05/456456.jpg,60,2027-05-20
"Pepsi 500ml",Soda,22.00,0.00,340,20.00,480392525110,https://store.iloilosupermart.com/wp-content/uploads/2020/05/545666.jpg,80,2027-06-10
"Mountain Dew 1.5L",Soda,55.00,0.00,180,50.00,480392515114,https://store.iloilosupermart.com/wp-content/uploads/2020/05/45645.png,45,2027-04-01
"Coke Zero 1.5L",Soda,60.00,0.00,150,54.00,480198111664,https://store.iloilosupermart.com/wp-content/uploads/2020/05/1126-thickbox_default.png,35,2027-03-05
"Sprite 1.5L",Soda,60.00,0.00,160,54.00,480198118062,https://store.iloilosupermart.com/wp-content/uploads/2020/05/989656-scaled.jpg,40,2027-02-25
"Royal Tru Orange 1.5L",Soda,60.00,0.00,200,54.00,480191198062,https://store.iloilosupermart.com/wp-content/uploads/2020/05/4564653.jpg,50,2027-03-15
"Coke 1.5L",Soda,60.00,0.00,220,54.00,480198111607,https://store.iloilosupermart.com/wp-content/uploads/2020/05/158.jpg,55,2027-03-28
"7-up 1.5L",Soda,55.00,0.00,170,50.00,480392515112,https://store.iloilosupermart.com/wp-content/uploads/2020/05/87545.png,40,2027-04-22
"Royal Tru Strawberry 1.5L",Soda,60.00,0.00,140,54.00,480198109722,https://store.iloilosupermart.com/wp-content/uploads/2025/07/ROAYL-STRAWBERRY-SQUARE.png,35,2027-05-08
"Mirinda Orange 1.5L",Soda,60.00,0.00,130,54.00,480392515116,https://store.iloilosupermart.com/wp-content/uploads/2020/10/DGFHFG.jpg,30,2027-06-18
"Coke Light 1.5L",Soda,65.00,0.00,120,58.50,480198111696,https://store.iloilosupermart.com/wp-content/uploads/2020/10/245465.png,30,2027-02-12
"Pepsi 1.5L",Soda,55.00,0.00,165,50.00,480392515110,https://store.iloilosupermart.com/wp-content/uploads/2020/10/5645465.jpg,40,2027-03-10
"Coke 1L (1 Case)",Softdrinks case,0.00,350.00,70,315.00,480374937310,https://scontent.filo3-1.fna.fbcdn.net/v/t1.6435-9/115836693_147302037058212_5690063647079165065_n.jpg,18,2027-03-01
"Juicy Lemon 237 ml (1 Bundle)",Softdrinks case,0.00,141.00,95,127.00,480611352020,https://ph-test-11.slatic.net/p/7482b89d94aba3db823209a97cf807f5.jpg,25,2027-02-15
"Sprite 1L (1 Case)",Softdrinks case,0.00,350.00,65,315.00,480732471900,https://scontent.filo3-1.fna.fbcdn.net/v/t1.6435-9/115963635_147302060391543_1307941767106254060_n.jpg,16,2027-04-01
"Royal 1L (1 Case)",Softdrinks case,0.00,350.00,75,315.00,542353276241,https://scontent.filo3-1.fna.fbcdn.net/v/t1.6435-9/115846664_147302010391548_3194191266137742583_n.jpg,18,2027-03-20
"UFC Premium Banana Ketchup 320g",Condiments,65.00,0.00,45,58.00,480004210014,https://marilenminimart.com/cdn/shop/products/444b3076f2cfe6267a3321417494fe30.jpg?v=1616469550,15,2028-03-15
"Lucky Me Pancit Canton with Kalamnsi 60g",Instant Noodles,12.50,0.00,750,11.00,489310100015,https://store.iloilosupermart.com/wp-content/uploads/2020/05/789745645.jpg,200,2026-10-30

